date,GSEC_10Y_TRI,GSEC_10Y_Price,GSEC_10Y_Yield,GSEC_5Y_TRI,GSEC_5Y_Price
2012-01-31,102.83869474658816,102.33869474658816,0.08234999999999999,101.86762053906719,101.3676205390672
2012-02-29,103.65360134925976,102.64963928709687,0.08192500000000001,102.55147973459174,101.54812312730128
2012-03-31,102.82598279702346,101.3300368348086,0.08374000000000001,102.28066843855355,100.7799614303124
2012-04-30,101.78606051754598,99.80524368410465,0.085875,101.88013102641959,99.88530087947225
2012-05-31,102.45845584015755,99.96455379674755,0.08564999999999999,102.48582352807325,99.97913381979726
2012-06-30,105.63664431889079,102.56538320661271,0.08204,104.55658125800423,101.49924310966834
2012-07-31,106.96508181297186,103.35519794396035,0.08096666666666669,105.54273418497884,101.95655994686787
2012-08-31,106.72579520654975,102.6239868407394,0.08195999999999999,105.62211507693297,101.53324360237154
2012-09-30,107.40597334016006,102.77802358694395,0.08175,106.23516411203244,101.62256011980368
2012-10-31,108.13974901613692,102.9801820553024,0.081475,106.8802793480824,101.7396652225035
2012-11-30,108.24044665185421,102.57607520239263,0.08202540000000001,107.15949050462852,101.50544717747833
2012-12-31,109.27218283907922,103.05381921586867,0.08137499999999999,107.97960402384061,101.78228914557562
2013-01-31,111.89750388249429,105.02974083802697,0.07872499999999999,109.71670231564659,102.91968948806849
2013-02-28,112.71203931095309,105.29428376334779,0.078375,110.4110822641888,103.0710521993274
2013-03-31,112.66167495052366,104.74723396022974,0.0791,110.61114142040753,102.7578116016511
2013-04-30,113.84892603075158,105.35108109125086,0.0783,111.52148562778683,103.10352187417233
2013-05-31,117.1149388364541,107.87331407960328,0.07502,113.61134230747973,104.53563013721825
2013-06-30,118.50775265412705,108.65621994883708,0.0740215,114.63371319311155,104.97633009369109
2013-07-31,116.3252017166708,106.15510416190692,0.07724375,113.63539042764334,103.5621116037841
2013-08-31,111.95001715838559,101.6624339093887,0.08327999999999999,111.344154259171,100.9739834696088
2013-09-30,110.33873158445546,99.69921650820625,0.08602499999999999,110.62609830274039,99.82280451228236
2013-10-31,111.12693256784381,99.9114144768286,0.085725,111.31878292838402,99.94784438113014
2013-11-30,109.42392857981804,97.88028666315068,0.0886304,110.53571286216166,98.744762986783
2013-12-31,109.88785531008088,97.79527159321287,0.08875368249999999,111.03870526098927,98.69410070687643
2014-01-31,111.31227082116988,98.56293762760271,0.0876454,112.1149230106324,99.1506711452308
2014-02-28,111.50071280087938,98.22979609662423,0.088125,112.45653615361853,98.95278233158817
2014-03-31,111.87179279521715,98.05670981101842,0.08837500000000001,112.90775396365468,98.849818015487
2014-04-30,111.26668803321398,97.02632962696592,0.08987500000000001,112.77630669032553,98.23473699942673
2014-05-31,113.69501521399697,98.64386972499092,0.0875292,114.45696509023466,99.19868843343049
2014-06-30,115.23483269469234,99.47984346737606,0.086336,115.60465395739021,99.69337871079128
2014-07-31,115.6322461182221,99.3229222417369,0.08655900000000001,116.07698392893893,99.60069942944867
2014-08-31,116.99732280000677,99.99546199315097,0.0856064,117.12193680415214,99.99732883623757
2014-09-30,118.16063654829263,100.48972487813744,0.08491149999999999,118.04784851345921,100.28786133762307
2014-10-31,119.50054159522661,101.12924725599966,0.0840188,119.07747781479914,100.66258562868168
2014-11-30,121.93691447862551,102.6910668297354,0.0818685,120.74490158254872,101.5721484686122
2014-12-31,124.56288103274598,104.40256535792807,0.07955925,122.5135784628993,102.5599819781799
2015-01-31,126.62010666842107,105.62683210660828,0.0779366,123.94828788805457,103.26102250474005
2015-02-28,127.76270356309698,106.07998949633874,0.07734200000000001,124.85853997844846,103.51935134649091
2015-03-31,127.57098226639563,105.42080537943205,0.078208,125.00812124108936,103.14336813609013
2015-04-30,128.02781894239465,105.29832140584399,0.0783696666666667,125.52926544579677,103.07336074796581
2015-05-31,128.49580643308047,105.18322444969202,0.0785218,126.05802887172058,103.00753379245087
2015-06-30,129.5412261899395,105.53897705347144,0.07805225,126.91875092686323,103.21086746325767
2015-07-31,130.0460064671586,105.4502283258375,0.0781692,127.47127011391146,103.16017841352225
2015-08-31,130.9524849973098,105.6852633382433,0.07785974999999999,128.2549137976239,103.29436698128475
2015-09-30,132.08148221634897,106.09642106392336,0.0773205,129.16670294050067,103.52870673907736
2015-10-31,133.99788180651282,107.1357976247626,0.075969,130.52679296808884,104.11883568407167
2015-11-30,133.1976322445279,105.99597127850797,0.077452,130.3420911745078,103.47150244114798
2015-12-31,133.38199185874663,105.64268091624214,0.07791575,130.7181912364507,103.27006784029705
2016-01-31,135.19869158529883,106.58156353344002,0.0766876,132.02763968297086,103.80455912744237
2016-02-29,135.33419140771414,106.18838248828484,0.07720025,132.37930526631587,103.58105040553447
2016-03-31,137.2985230279861,107.22967220419164,0.07584774999999999,133.77353748384624,104.1719764933433
2016-04-30,139.42384033924628,108.38953768264163,0.0743606,135.2560211552845,104.82641448666823
2016-05-31,141.66174181602742,109.62930547168975,0.072793,136.7981624670343,105.52160818645113
2016-06-30,140.03246060552956,107.86843598614495,0.07502625,136.16457370346407,104.5328786300369
2016-07-31,142.22929819020234,109.06068243635747,0.0735092,137.68917256532993,105.20330573491657
2016-08-31,145.05975550860742,110.73106231364149,0.0714185,139.56391013432096,106.13572475500848
2016-09-30,148.68430726642455,112.9978563506689,0.06864379999999999,141.8688104918065,107.38855806051251
2016-10-31,150.21477392012827,113.66098818525323,0.06784525000000001,143.0100159121012,107.75240124148687
2016-11-30,152.77990386983146,115.10191048802139,0.06613000000000001,144.71750777805588,108.53892895413328
2016-12-31,154.40124681247744,115.82340405836572,0.0652812,145.9065142345181,108.93069035387964
2017-01-31,152.1043187451843,113.60037375178922,0.067918,144.95350372852954,107.71919304427375
2017-02-28,150.69953900980983,112.05120233907722,0.069794,144.47967684794725,106.86707841505721
2017-03-31,149.86031790870956,110.92720750787548,0.0711756,144.31422136831063,106.2446961942336
2017-04-30,150.02044656389484,110.54573537976023,0.0716485,144.70537387358561,106.03266420386235
2017-05-31,151.25135601942674,110.9527570162391,0.071144,145.69646199665794,106.25888266650196
2017-06-30,157.93562081222638,115.35610219545485,0.0658302,149.69777513942813,108.67710770726721
2017-07-31,159.01567347386398,115.64497214494187,0.06549050000000001,150.60251980687275,108.83393132124462
2017-08-31,159.07876697339017,115.19085721926086,0.066025,150.95312676092152,108.58729981206817
2017-09-30,158.3569609673478,114.16818876913426,0.0672384,150.8733166153646,108.02988882370646
